chr	start	end	feature
chrX	100627108	100639991	ENSG00000000003.15
chrX	100584936	100599885	ENSG00000000005.6
chr20	50934867	50959140	ENSG00000000419.14
chr1	169849631	169894267	ENSG00000000457.14
chr1	169662007	169854080	ENSG00000000460.17
chr1	27612064	27635185	ENSG00000000938.13
chr1	196652043	196747504	ENSG00000000971.16
chr6	143494812	143511720	ENSG00000001036.14
chr6	53497341	53616970	ENSG00000001084.13
chr6	41072974	41102403	ENSG00000001167.15
chr1	24356999	24416934	ENSG00000001460.18
chr1	24415802	24472976	ENSG00000001461.17
chrX	65438549	65534810	ENSG00000001497.18
chr6	46129989	46146688	ENSG00000001561.7
chr3	50155045	50189075	ENSG00000001617.12
chr7	117287120	117715971	ENSG00000001626.16
chr7	92245974	92401383	ENSG00000001629.10
chr7	92112153	92134803	ENSG00000001630.17
chr7	92198969	92246166	ENSG00000001631.16
chr12	911736	990053	ENSG00000002016.18
chr7	99238829	99311130	ENSG00000002079.14
chr11	64269830	64284704	ENSG00000002330.14
chr4	17577198	17607972	ENSG00000002549.13
chrX	2691187	2741309	ENSG00000002586.20
chrY	2691187	2741309	ENSG00000002586.20_PAR_Y
chr4	11393150	11429564	ENSG00000002587.10
chr7	150824627	150861504	ENSG00000002726.21
chr7	121325367	121341104	ENSG00000002745.13
chr7	43112629	43566001	ENSG00000002746.15
chr7	1815793	2233243	ENSG00000002822.16
chr17	38869859	38921770	ENSG00000002834.18
chr17	48103357	48123601	ENSG00000002919.15
chr7	150800403	150805118	ENSG00000002933.9
chr12	8940361	8949761	ENSG00000003056.8
chrX	117897813	118117340	ENSG00000003096.14
chr2	72129238	72147862	ENSG00000003137.9
chr7	8113184	8262687	ENSG00000003147.19
chr16	90004871	90019890	ENSG00000003249.15
chr2	201700267	201782112	ENSG00000003393.16
chr2	201182898	201229406	ENSG00000003400.15
chr2	201116154	201176687	ENSG00000003402.20
chr2	187464230	187565760	ENSG00000003436.16
chr2	37231631	37253403	ENSG00000003509.16
chr3	50088919	50119021	ENSG00000003756.17
chr8	17296794	17413528	ENSG00000003987.14
chr8	17497088	17570573	ENSG00000003989.18
chr7	127588386	127591700	ENSG00000004059.11
chr17	28364356	28404049	ENSG00000004139.14
chr17	28346633	28357527	ENSG00000004142.12
chr3	129555214	129606676	ENSG00000004399.13
chr1	33007940	33080996	ENSG00000004455.17
chr4	15778275	15853232	ENSG00000004468.13
chr12	2794970	2805423	ENSG00000004478.8
chr1	23019443	23083689	ENSG00000004487.17
chr3	49940007	50100045	ENSG00000004534.15
chr17	3860315	3894891	ENSG00000004660.15
chr12	21468910	21501669	ENSG00000004700.16
chr7	93232340	93361123	ENSG00000004766.17
chr19	35754566	35758079	ENSG00000004776.13
chr19	35774532	35788822	ENSG00000004777.18
chr16	23581014	23596316	ENSG00000004779.10
chr7	95583499	95596516	ENSG00000004799.8
chr6	110424687	110476641	ENSG00000004809.14
chr3	50341110	50345732	ENSG00000004838.14
chr7	20615667	20777038	ENSG00000004846.17
chrX	25003694	25016420	ENSG00000004848.8
chr7	96120220	96322147	ENSG00000004864.14
chr7	116953238	117230176	ENSG00000004866.22
chr17	47117703	47189422	ENSG00000004897.12
chr17	44248390	44268141	ENSG00000004939.16
chr7	93424486	93574730	ENSG00000004948.16
chrX	11111301	11123086	ENSG00000004961.15
chr17	7225342	7234517	ENSG00000004975.12
chr16	2852730	2858170	ENSG00000005001.10
chr19	18831959	18868230	ENSG00000005007.13
chr7	26667068	26995239	ENSG00000005020.13
chrX	119468422	119471396	ENSG00000005022.6
chr4	109560209	109688719	ENSG00000005059.16
chr7	27181157	27185232	ENSG00000005073.6
chr7	102473118	102478907	ENSG00000005075.15
chr17	5440917	5468982	ENSG00000005100.13
chr17	43640389	43661922	ENSG00000005102.14
chr7	11370365	11832198	ENSG00000005108.16
chr17	34980512	35009743	ENSG00000005156.12
chr12	47661249	47706030	ENSG00000005175.10
chr16	20610243	20797581	ENSG00000005187.12
chr16	20806429	20849665	ENSG00000005189.20
chr16	57428187	57447420	ENSG00000005194.15
chr19	2328615	2355095	ENSG00000005206.17
chr9	35104112	35116341	ENSG00000005238.20
chr17	48026167	48038030	ENSG00000005243.10
chr7	107044705	107161811	ENSG00000005249.13
chrX	11758159	11775772	ENSG00000005302.19
chr16	3725054	3880713	ENSG00000005339.15
chr17	58301228	58328795	ENSG00000005379.17
chr17	58269855	58280935	ENSG00000005381.8
chr7	95297676	95324532	ENSG00000005421.9
chr2	75652000	75710985	ENSG00000005436.14
chr2	74421678	74425755	ENSG00000005448.17
chr7	87345664	87399794	ENSG00000005469.12
